0840017M;Lycée Ismael Dauphin
0951637N;Lycée Galilée
0352304P;Lycée Sevigne
0851346B;Lycée Francois Truffaut
0631070W;Lycée Sainte Thecle
0600009J;Lycée Jean Rostand
0080027L;Lycée Monge
0281047L;Lycée Fulbert
0530004S;Lycée Victor Hugo
0290023T;Lycée Jean Moulin
0360043B;Lycée Blaise Pascal
0860005N;Cite Technique Edouard Branly
0860003L;Lycée Marcelin Berthelot
0920135X;Lycée E. Mounier
0783355Y;Lycée Perceval
0520844K;Lycée Edme Bouchardon
0520685M;Lycée OUDINOT
0020014E;Lycée Gay Lussac
0920908M;Lycée St Thomas De Villeneuve
0770922J;Lycée Gaston BACHELARD
0595885B;Lycée Arthur Rimbaud
0021874B;Lycée Saint Remy
0590207E;Lycée Louis Pasteur
0672050P;Ecole Commerciale Privee
0671610L;Institution Notre Dame
0670078W;Lycée Jean Monnet
0670082A;Lycée Louis Pasteur
0693267B;Lycée Notre Dame De Bel Air
0130164H;Lycée Alphonse Daudet
0650026A;Lycée Marie Curie
0680073K;Lycée Scheurer-Kestner
0940123Y;Lycée Guillaume Apollinaire
0630068G;Lycée Montdory
0570108H;Lycée La Briquerie
0740046Y;Lycée La Versoie
0790036K;Lycée Jean Moulin
0891168L;Lycée Pierre Larousse
0541320S;Lycée Jean-Baptiste Vatelot
0540066D;Lycée Louis Majorelle
0830177S;Cours Renaissance
0311147D;Lycée Sainte-Marie De Nevers
0592980U;Lycée Marie Noel
0590215N;Lycée Sévigné
0710071S;Lycée Gabriel Voisin
0840083J;Ecole Hôtelière d' Avignon
0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières
0840940R;Lycée St Jean Baptiste De La Salle
0930936M;Lycée Saint Benoist De L'Europe
7200583W;Lycée Paul Vincensini
0601950U;Lycée St Vincent De Paul
0011119L;Lycée Arbez Carme
0931906S;Lycée Ecofih
0331591A;Lycée Bel Orme
0330029C;Lycée Nicolas Bremontier
0332468D;Lycée St Louis
0331556M;Lycée Ste Famille - Saintonge
0171428K;Lycée de la mer et du littoral
0290337J;GROUPE SCOLAIRE DE L'ESTRAN
0142084P;Lycée Notre Dame De Fidélité
0350787R;Lycée Les Rimains
0060818G;Ilec
0080091F;Lycée Notre-Dame
0580076T;Lycée Simone Dounon
0230018V;Lycée Des Metiers Du Batiment
0593104D;Lycée Saint Pierre
0573073F;Lycée ST JOSEPH-LA PROVIDENCE
0382050X;Lycée Faugier Hays
0950650R;Lycée Jean-Jacques Rousseau
0670085D;Lycée Louis Couffignal
0800011C;Lycée des Métiers Édouard Gand
0710012C;Lycée Nicéphore Niepce
0130049H;Lycée Rempart (Rue Du)
0300026R;Lycée Dhuoda
0750712S;Lycée Diderot
0750713T;Lycée Jacquard
0420046X;Lycée Etienne Mimard
0750707L;Ecole Nationale De Commerce
0753377N;Lycée Ipecom Prepa Sciences
0780015T;Lycée Militaire de Saint-Cyr
9710002A;Lycée Gerville Reache
9710055H;Pensionnat De Versailles
9710884J;Lycée de Raoul Georges NICOLO
9730010Y;Externat Saint Joseph de Cluny
0641779L;Lycée des métiers du Pays de Soule
0500017X;Lycée Alexis De Tocqueville
0211909L;Lycée Jean-Marc Boivin
0921555R;Lycée Jacques Monod
0340023R;Lycée Rene Gosse
0740017S;Lycée Charles Poncet
0160065J;Lycée Beaulieu
0680007N;Lycée A. Bartholdi
0680008P;Lycée Camille See
0680149T;Lycée Saint-Andre
0921663H;Lycée Jeanne D'Arc
0312355S;Lycée Ort Maurice Grynfogel
0352533N;Lycée François René de Chateaubriand
0550048D;Lycée J. d'Arc
0601863Z;Lycée CHARLES DE GAULLE
0601702Z;Lycée Guynemer
0600015R;Lycée Mireille Grenet
0601700X;Institution Sevigne
0320009L;Lycée Bossuet
0781845G;Lycée Jules Ferry
0580014A;Lycée Pierre Gilles de Gennes
0770924L;Lycée Jules Ferry
0920138A;Lycée Paul Lapie
0631861F;Lycée René Descartes
0370036N;Lycée Balzac
0370727P;Lycée St Gregoire
0370038R;Lycée Grandmont
0370039S;Lycée Paul-Louis Courier
0370731U;Lycée Sainte URSULE
0220065B;Lycée Joseph Savina
0011276G;Lycée du Val de Saône
0640137B;Lycée Saint-Joseph
0300046M;Lycée Charles Gide
0271582Y;Lycée Marc Bloch
0595809U;Lycée de L'Escaut
0250058C;Lycée Armand Peugeot
0500082T;Lycée Henri Cornat
0540070H;Lycée Jacques Callot
0561627P;Lycée Charles De Gaulle
0560117Y;Lycée St Paul
0920937U;Lycée Suger
0693619J;Lycée Robert Doisneau
0692717D;Lycée Jacques Brel
0690104N;Lycée Marcel Sembat
0380018N;Lycée ISER-BORDIER
0382170C;Lycée Paul Louis Merlin
0593077Z;Lycée Saint Joseph
0731405F;Lycée Sainte Anne
0593006X;Lycée Notre-Dame D'Annay
0593005W;Lycée St Jean-Baptiste De La Salle
0693451B;Ecole de Conde
0690693D;Supdemod
0691659D;Lycée Don Bosco
0133286B;Lycée Belsunce
0133283Y;Leschi - Annexe Technique
0130051K;Lycée Marie Curie
0131404F;Ecole Sup. Pratique De Commerce
0133474F;Lycée Marie Gasquet
0542161F;Lycée Pierre De Coubertin
0060777M;Ilec
0061852F;Lycée La Providence
0573519R;Lycée Saint André
0750681H;ESAA Boulle
0750710P;Lycée Auguste Renoir
0750106H;CFA CFI
0660655D;Lycée Rive Gauche
9730001N;Lycée Félix EBOUE
9720070U;Lycée de l'Union
9720063L;Lycée St Joseph De Cluny
9720694X;Lycée Acajou 1
9710923B;Lycée JARDIN d'ESSAI
9710921Z;Lycée Providence
9710062R;Lycée La Perseverance
9710054G;Lycée Maitrise de Massabielle
9730196A;Lycée Leon-Gontran Damas
9740471U;Lycée Amiral Pierre Bouvet
9710922A;Lycée De Sainte Anne
9741185V;Lycée Le Verger
9710940V;Lycée Sonny RUPAIRE
9740952S;Lycée Pierre Poivre
9740787M;Lycée Antoine Roussin
9741182S;Lycée Jean Joly
9741051Z;Lycée Paul MOREAU
9730328U;Lycée A.M.Javouhey
9730309Y;Lycée Melkior Garre
9720615L;Lycée AMEP
9720782T;Lycée Techno-Compta
9711012Y;Lycée Hyacinthe BASTARAUD
9720771F;Lycée La Jetee
9720726G;Lycée Joseph Pernock
9720727H;Lycée Montgérald
9740979W;Lycée Jean Hinglo
9740002J;Lycée Roland Garros
9741186W;Lycée De Trois Bassins
1050004J;Ecole Européenne d'Helsinki
0741418P;Lycée Charles Baudelaire
0600021X;Lycée Jules Uhry
0601832R;Lycée Jean Monnet
0601703A;Lycée La Maison Francaise
0030072M;Lycée SAINT PIERRE
0400064C;N.Dame Sacre-Coeur
0120054U;Sainte-Foy
0692800U;Lycée Charlie Chaplin
0590060V;Lycée Alfred Kastler
0761707T;Lycée La Providence
0762169V;Lycée Pablo Neruda
0040034R;Lycée Le Sacre Coeur
0040490L;Lycée PIERRE-GILLES DE GENNES
0711137A;Lycée Camille Claudel
0210017E;Lycée Montchapet
0220095J;Lycée Notre Dame De La Victoire
0801900F;Lycée De L Authie
0801743K;Lycée Montalembert
0830015R;Lycée Jean Moulin
0280667Y;Lycée St Pierre St Paul
0382920T;Lycée Marie Curie
0271053Y;Lycée Saint-Adjutor
0781946S;Cours Versaillais
0783293F;Lycée Les Chataigniers
0783350T;Lycée SAINT JEAN HULST
0700905D;Lycée Edouard Belin
0380083J;Lycée Galilee
0382854W;Institution Saint Charles
0910823A;Lycée Ile De France
0360509H;Chamousseau
0930127H;Lycée Clemenceau
0594424N;Lycée Raymond Queneau
0690103M;Lycée Frédéric Fays
0690132U;Lycée Pierre Brossolette
0141555P;Lycée Marie Curie
0510062R;Lycée Francois 1er
0941719H;Lycée Epin
0380089R;Lycée Portes De L'Oisans
0681917P;Institution Don Bosco - Lycée technologique
0030038A;Lycée Polyvalent Jean Monnet
0340002T;Lycée Auguste Loubatières
0730003G;Lycée Marlioz
0940126B;Lycée Maximilien Perret (Batiment)
0630001J;Lycée Blaise Pascal
0070001N;Lycée Boissy D'Anglas
0061478Z;Lycée Léonard De Vinci
0560180S;Lycée Notre Dame De La Paix
0132280H;Lycée Henri Leroy
0350030T;Lycée Pierre Mendes France
0420034J;Lycée Carnot
0121428M;Lycée Louis Querbes
0573172N;Lycée Sainte Chretienne
0520028Y;Lycée Blaise Pascal
0521045D;Lycée L'ASSOMPTION
